k141_2670,1052,1
k141_13348,1445,4
k141_1,1102,0
k141_10680,1191,1
k141_4451,1284,0
k141_2673,1015,1
k141_9790,4211,0
k141_2,2821,1
k141_9791,1443,1
k141_10681,4265,1
k141_9793,1872,0
k141_5347,1823,0
k141_2678,1209,1
k141_4,3049,2
k141_9795,1321,1
k141_9,8193,3
k141_13350,3181,1
k141_12459,1034,2
k141_890,1730,0
k141_13351,1229,1
k141_11,1664,3
k141_12461,3835,4
k141_1782,4767,2
k141_10682,15323,6
k141_3565,1958,2
k141_8014,1111,0
k141_10684,2964,0
k141_17,2953,0
k141_8016,1235,0
k141_13355,4488,6
k141_3566,2419,3
k141_12464,4873,2
k141_18,2141,4
k141_13356,3514,1
k141_5348,26736,18
k141_13358,1528,1
k141_7120,52877,33
k141_9798,25402,10
k141_8901,39992,13
k141_1783,4128,2
k141_8017,5209,3
k141_893,10978,4
k141_6230,9072,7
k141_2680,19453,12
k141_12466,25519,13
k141_3568,27950,15
k141_4454,89903,53
k141_21,4859,1
k141_8018,1020,2
k141_894,1292,0
k141_22,1343,1
k141_6232,1335,0
k141_1785,2390,4
k141_24,1039,0
k141_8020,2921,0
k141_1787,2835,0
k141_8022,2440,3
k141_6235,6117,2
k141_6236,1162,0
k141_27,6825,4
k141_5351,54365,36
k141_11570,86945,41
k141_5352,1211,1
k141_5359,1294,0
k141_11571,7618,4
k141_5360,3773,4
k141_3571,10791,4
k141_7122,34010,22
k141_7124,2121,0
k141_5361,8376,11
k141_5364,1046,2
k141_7129,3534,2
k141_7130,1975,0
k141_10686,63906,48
k141_1792,49947,24
k141_8904,10862,6
k141_4457,10524,6
k141_900,12100,6
k141_12467,91159,42
k141_8028,17679,15
k141_10688,1182,1
k141_7131,4918,3
k141_1797,1075,0
k141_7135,1489,3
k141_7136,1384,1
k141_12470,4745,1
k141_1803,2206,0
k141_13360,126532,74
k141_2681,9263,5
k141_2683,3622,3
k141_3572,13203,7
k141_2684,1263,2
k141_1805,12624,4
k141_1809,1052,0
k141_6239,33207,21
k141_8906,7386,1
k141_2686,2667,1
k141_901,21700,12
k141_3575,15643,10
k141_9801,25929,15
k141_13361,26848,12
k141_28,11455,7
k141_13362,1064,1
k141_13363,1103,2
k141_29,2025,2
k141_12476,34352,23
k141_33,1154,1
k141_12478,2388,3
k141_1815,3187,4
k141_13365,4803,2
k141_35,3608,1
k141_12480,4195,1
k141_1819,8755,6
k141_6243,36028,21
k141_1821,10176,4
k141_6244,5722,4
k141_3578,10107,4
k141_3583,1053,0
k141_1822,2970,1
k141_39,5765,9
k141_12481,29702,19
k141_1823,3604,0
k141_1824,1307,0
k141_12483,4482,2
k141_40,6004,2
k141_3587,11361,5
k141_11572,61449,54
k141_6248,17545,6
k141_8907,15503,8
k141_11574,1109,1
k141_1825,10063,4
k141_6250,7440,2
k141_8030,51523,24
k141_12484,20902,12
k141_12485,1416,1
k141_7138,47469,30
k141_7140,4809,1
k141_6254,14669,9
k141_12486,8399,9
k141_7141,1644,1
k141_7142,1009,0
k141_41,4867,1
k141_902,25701,16
k141_904,1791,0
k141_42,3242,0
k141_7143,6502,2
k141_43,1599,1
k141_12488,7883,5
k141_47,1038,0
k141_1826,4011,2
k141_6258,9590,3
k141_12490,2461,0
k141_50,1100,0
k141_13367,34964,15
k141_13368,1092,1
k141_6259,3116,2
k141_13370,1213,1
k141_6260,1029,1
k141_6261,1192,2
k141_8911,11482,5
k141_6262,1250,1
k141_12491,7273,3
k141_12493,2505,0
k141_6263,5197,2
k141_12494,2266,5
k141_6264,1090,1
k141_13371,10531,5
k141_13373,1586,0
k141_12497,5996,5
k141_1831,18708,6
k141_13376,3431,2
k141_12499,1986,2
k141_12500,1118,0
k141_4460,76508,55
k141_908,16499,6
k141_5366,59507,38
k141_5367,1336,0
k141_7144,13343,5
k141_51,9725,3
k141_5370,1903,0
k141_1832,13538,5
k141_6268,21619,16
k141_6269,7224,3
k141_6272,1197,1
k141_7146,22512,23
k141_11575,47380,27
k141_11576,4148,3
k141_7148,11143,13
k141_910,23814,9
k141_54,9430,7
k141_13377,30852,22
k141_5376,11470,9
k141_8031,50865,29
k141_3588,49987,36
k141_3590,1157,1
k141_8032,6852,6
k141_7151,1051,0
k141_1835,15162,8
k141_8034,1409,1
k141_13378,13568,8
k141_1837,1183,1
k141_7154,1238,0
k141_13380,3628,1
k141_8035,6895,3
k141_7155,5852,4
k141_8040,1388,1
k141_8041,1037,0
k141_2692,89176,49
k141_11579,11143,3
k141_6276,21471,14
k141_912,13669,12
k141_12501,38294,18
k141_12502,1629,1
k141_57,13628,9
k141_8045,1136,0
k141_12504,1307,1
k141_918,1265,0
k141_58,1375,0
k141_8047,3768,2
k141_65,1149,0
k141_8048,1038,0
k141_8054,1832,0
k141_8057,1279,2
k141_8059,1445,2
k141_7156,23631,18
k141_7158,5763,4
k141_11583,26393,13
k141_11588,1022,0
k141_1841,36225,26
k141_3591,46239,27
k141_3592,1143,1
k141_2694,31343,16
k141_8068,1343,3
k141_6278,32581,14
k141_6280,3000,1
k141_3595,1595,0
k141_12506,34788,24
k141_13381,111522,70
k141_12509,13993,7
k141_4461,98541,59
k141_10689,108441,70
k141_12510,8680,6
k141_4463,15356,13
k141_1842,33260,29
k141_12514,1953,2
k141_12516,1174,0
k141_1844,2230,1
k141_921,62838,36
k141_924,1443,4
k141_925,1792,0
k141_4465,9453,5
k141_8069,38420,21
k141_12519,1133,0
k141_8073,7221,1
k141_12523,4609,0
k141_8074,6965,4
k141_6282,50025,38
k141_12525,8086,3
k141_929,4086,3
k141_1846,10112,9
k141_1847,1269,0
k141_10690,23138,9
k141_935,1039,0
k141_1848,2600,2
k141_1849,2507,1
k141_1850,1721,1
